题目1: 817.0÷344.0+544.0=
题目2: 113.0×150.0×786.0=
题目3: 999.0×897.0=
题目4: 667.0-540.0=
题目5: 808.0×989.0×621.0=
题目6: 509.0+276.0=
题目7: 815.0+588.0-21.0=
题目8: 948.0×885.0=
题目9: 294.0×234.0+842.0=
题目10: 919.0÷467.0+428.0=
题目11: 699.0-615.0+687.0=
题目12: 892.0-414.0+772.0=
题目13: 696.0×528.0÷359.0=
题目14: 800.0×579.0÷592.0=
题目15: 177.0×850.0=
题目16: 572.0÷649.0=
题目17: 594.0÷468.0=
题目18: 118.0-29.0=
题目19: 588.0+547.0÷741.0×970.0=
题目20: 222.0-69.0=
题目21: 674.0+465.0=
题目22: 112.0×515.0÷944.0=
题目23: 218.0÷104.0=
题目24: 880.0×738.0÷313.0=
题目25: 332.0÷461.0÷676.0=
题目26: 102.0+504.0=
题目27: 787.0+886.0=
题目28: 324.0×745.0=
题目29: (561.0-318.0)×145.0=
题目30: 83.0-573.0+748.0=
题目31: 306.0-142.0=
题目32: 47.0÷331.0×521.0=
题目33: 36.0+105.0=
题目34: 35.0÷643.0+200.0=
题目35: 559.0+245.0=
题目36: 723.0÷223.0+123.0=
题目37: 989.0÷242.0=
题目38: 88.0×314.0=
题目39: (834.0-28.0)×716.0=
题目40: 613.0-319.0=
题目41: 182.0÷84.0=
题目42: 562.0+848.0-962.0=
题目43: 285.0÷156.0+43.0=
题目44: 341.0÷575.0=
题目45: 7.0×834.0=
题目46: (531.0-371.0)×63.0=
题目47: 674.0-388.0=
题目48: 317.0÷310.0=
题目49: 818.0-321.0=
题目50: 637.0-332.0+848.0=
题目51: 831.0+794.0=
题目52: 935.0+651.0×400.0=
题目53: 172.0-141.0=
题目54: 764.0+865.0=
题目55: 108.0×394.0=
题目56: 593.0÷120.0÷616.0=
题目57: 515.0×978.0=
题目58: 846.0÷211.0÷512.0=
题目59: 532.0÷91.0=
题目60: 602.0×358.0=
题目61: (944.0-246.0)×773.0=
题目62: 838.0÷1.0÷194.0=
题目63: 697.0-218.0=
题目64: 32.0+599.0=
题目65: 931.0×174.0=
题目66: 25.0-184.0+193.0=
题目67: 647.0-654.0+41.0=
题目68: 62.0+789.0+136.0=
题目69: 596.0×611.0=
题目70: 934.0×983.0=
题目71: 463.0-260.0=
题目72: 248.0÷94.0÷915.0=
题目73: 732.0-119.0=
题目74: 922.0÷794.0÷780.0=
题目75: 200.0÷276.0×793.0=
题目76: 701.0+645.0=
题目77: 590.0×110.0÷397.0=
题目78: 143.0÷977.0=
题目79: 481.0-348.0=
题目80: (916.0-225.0)×285.0=
题目81: 398.0+159.0=
题目82: 197.0+104.0÷22.0=
题目83: 621.0+276.0÷387.0=
题目84: 998.0÷985.0×621.0=
题目85: 241.0+291.0=
题目86: 77.0×812.0÷40.0=
